week_start,sku_code,territory_code,units,value_inr
2025-07-22,BS-0101,T-E1,870,24255.6
2025-07-29,BS-0101,T-E1,832,23196.16
2025-08-05,BS-0101,T-E1,773,21551.24
2025-08-12,BS-0101,T-E1,910,25370.8
2025-08-19,BS-0101,T-E1,859,23948.92
2025-08-26,BS-0101,T-E1,701,19543.88
2025-09-02,BS-0101,T-E1,826,23028.88
2025-09-09,BS-0101,T-E1,814,22694.32
2025-09-16,BS-0101,T-E1,924,25761.12
2025-09-23,BS-0101,T-E1,965,26904.2
2025-09-30,BS-0101,T-E1,728,20296.64
2025-10-07,BS-0101,T-E1,994,27712.72
2025-10-14,BS-0101,T-E1,1016,28326.08
2025-10-21,BS-0101,T-E1,851,23725.88
2025-10-28,BS-0101,T-E1,914,25482.32
2025-11-04,BS-0101,T-E1,957,26681.16
2025-11-11,BS-0101,T-E1,886,24701.68
2025-11-18,BS-0101,T-E1,1066,29720.08
2025-11-25,BS-0101,T-E1,880,24534.4
2025-12-02,BS-0101,T-E1,715,19934.2
2025-12-09,BS-0101,T-E1,927,25844.76
2025-12-16,BS-0101,T-E1,883,24618.04
2025-12-23,BS-0101,T-E1,979,27294.52
2025-12-30,BS-0101,T-E1,794,22136.72
2026-01-06,BS-0101,T-E1,746,20798.48
2026-01-13,BS-0101,T-E1,819,22833.72
2026-01-20,BS-0101,T-E1,755,21049.4
2026-01-27,BS-0101,T-E1,721,20101.48
2026-02-03,BS-0101,T-E1,826,23028.88
2026-02-10,BS-0101,T-E1,888,24757.44
2026-02-17,BS-0101,T-E1,900,25092.0
2026-02-24,BS-0101,T-E1,858,23921.04
2026-03-03,BS-0101,T-E1,708,19739.04
2026-03-10,BS-0101,T-E1,760,21188.8
2026-03-17,BS-0101,T-E1,750,20910.0
2026-03-24,BS-0101,T-E1,935,26067.8
2026-03-31,BS-0101,T-E1,811,22610.68
2026-04-07,BS-0101,T-E1,788,21969.44
2026-04-14,BS-0101,T-E1,695,19376.6
2026-04-21,BS-0101,T-E1,758,21133.04
2026-04-28,BS-0101,T-E1,763,21272.44
2026-05-05,BS-0101,T-E1,754,21021.52
2026-05-12,BS-0101,T-E1,728,20296.64
2026-05-19,BS-0101,T-E1,727,20268.76
2026-05-26,BS-0101,T-E1,831,23168.28
2026-06-02,BS-0101,T-E1,755,21049.4
2026-06-09,BS-0101,T-E1,889,24785.32
2026-06-16,BS-0101,T-E1,967,26959.96
2026-06-23,BS-0101,T-E1,930,25928.4
2025-07-01,BS-0101,T-E2,969,27015.72
2025-07-08,BS-0101,T-E2,342,9534.96
2025-07-15,BS-0101,T-E2,815,22722.2
2025-07-22,BS-0101,T-E2,1022,28493.36
2025-07-29,BS-0101,T-E2,825,23001.0
2025-08-05,BS-0101,T-E2,1001,27907.88
2025-08-12,BS-0101,T-E2,866,24144.08
2025-08-19,BS-0101,T-E2,859,23948.92
2025-08-26,BS-0101,T-E2,1006,28047.28
2025-09-02,BS-0101,T-E2,868,24199.84
2025-09-09,BS-0101,T-E2,875,24395.0
2025-09-16,BS-0101,T-E2,928,25872.64
2025-09-23,BS-0101,T-E2,1088,30333.44
2025-09-30,BS-0101,T-E2,913,25454.44
2025-10-07,BS-0101,T-E2,963,26848.44
2025-10-14,BS-0101,T-E2,1168,32563.84
2025-10-21,BS-0101,T-E2,984,27433.92
2025-10-28,BS-0101,T-E2,960,26764.8
2025-11-04,BS-0101,T-E2,1045,29134.6
2025-11-11,BS-0101,T-E2,1129,31476.52
2025-11-18,BS-0101,T-E2,1159,32312.92
2025-11-25,BS-0101,T-E2,1040,28995.2
2025-12-02,BS-0101,T-E2,940,26207.2
2025-12-09,BS-0101,T-E2,1026,28604.88
2025-12-16,BS-0101,T-E2,1127,31420.76
2025-12-23,BS-0101,T-E2,901,25119.88
2025-12-30,BS-0101,T-E2,916,25538.08
2026-01-06,BS-0101,T-E2,850,23698.0
2026-01-13,BS-0101,T-E2,970,27043.6
2026-01-20,BS-0101,T-E2,902,25147.76
2026-01-27,BS-0101,T-E2,1074,29943.12
2026-02-03,BS-0101,T-E2,896,24980.48
2026-02-10,BS-0101,T-E2,1075,29971.0
2026-02-17,BS-0101,T-E2,942,26262.96
2026-02-24,BS-0101,T-E2,894,24924.72
2026-03-03,BS-0101,T-E2,939,26179.32
2026-03-10,BS-0101,T-E2,868,24199.84
2026-03-17,BS-0101,T-E2,848,23642.24
2026-03-24,BS-0101,T-E2,1083,30194.04
2026-03-31,BS-0101,T-E2,878,24478.64
2026-04-07,BS-0101,T-E2,1020,28437.6
2026-04-14,BS-0101,T-E2,898,25036.24
2026-04-21,BS-0101,T-E2,813,22666.44
2026-04-28,BS-0101,T-E2,857,23893.16
2026-05-05,BS-0101,T-E2,992,27656.96
2026-05-12,BS-0101,T-E2,1066,29720.08
2026-05-19,BS-0101,T-E2,992,27656.96
2026-05-26,BS-0101,T-E2,956,26653.28
2026-06-02,BS-0101,T-E2,1045,29134.6
2026-06-09,BS-0101,T-E2,857,23893.16
2026-06-16,BS-0101,T-E2,952,26541.76
2026-06-23,BS-0101,T-E2,308,8587.04
2025-07-01,BS-0101,T-E3,836,23307.68
2025-07-08,BS-0101,T-E3,764,21300.32
2025-07-15,BS-0101,T-E3,831,23168.28
2025-07-22,BS-0101,T-E3,771,21495.48
2025-07-29,BS-0101,T-E3,777,21662.76
2025-08-05,BS-0101,T-E3,740,20631.2
2025-08-12,BS-0101,T-E3,746,20798.48
2025-08-19,BS-0101,T-E3,755,21049.4
2025-08-26,BS-0101,T-E3,767,21383.96
2025-09-02,BS-0101,T-E3,743,20714.84
2025-09-09,BS-0101,T-E3,764,21300.32
2025-09-16,BS-0101,T-E3,873,24339.24
2025-09-23,BS-0101,T-E3,925,25789.0
2025-09-30,BS-0101,T-E3,781,21774.28
2025-10-07,BS-0101,T-E3,955,26625.4
2025-10-14,BS-0101,T-E3,861,24004.68
2025-10-21,BS-0101,T-E3,875,24395.0
2025-10-28,BS-0101,T-E3,825,23001.0
2025-11-04,BS-0101,T-E3,900,25092.0
2025-11-11,BS-0101,T-E3,787,21941.56
2025-11-18,BS-0101,T-E3,793,22108.84
2025-11-25,BS-0101,T-E3,924,25761.12
2025-12-02,BS-0101,T-E3,695,19376.6
2025-12-09,BS-0101,T-E3,849,23670.12
2025-12-16,BS-0101,T-E3,870,24255.6
2025-12-23,BS-0101,T-E3,697,19432.36
2025-12-30,BS-0101,T-E3,783,21830.04
2026-01-06,BS-0101,T-E3,846,23586.48
2026-01-13,BS-0101,T-E3,820,22861.6
2026-01-20,BS-0101,T-E3,753,20993.64
2026-01-27,BS-0101,T-E3,717,19989.96
2026-02-03,BS-0101,T-E3,856,23865.28
2026-02-10,BS-0101,T-E3,666,18568.08
2026-02-17,BS-0101,T-E3,699,19488.12
2026-02-24,BS-0101,T-E3,815,22722.2
2026-03-03,BS-0101,T-E3,790,22025.2
2026-03-10,BS-0101,T-E3,771,21495.48
2026-03-17,BS-0101,T-E3,715,19934.2
2026-03-24,BS-0101,T-E3,899,25064.12
2026-03-31,BS-0101,T-E3,663,18484.44
2026-04-07,BS-0101,T-E3,657,18317.16
2026-04-14,BS-0101,T-E3,821,22889.48
2026-04-21,BS-0101,T-E3,715,19934.2
2026-04-28,BS-0101,T-E3,812,22638.56
2026-05-05,BS-0101,T-E3,681,18986.28
2026-05-12,BS-0101,T-E3,764,21300.32
2026-05-19,BS-0101,T-E3,901,25119.88
2026-05-26,BS-0101,T-E3,792,22080.96
2026-06-02,BS-0101,T-E3,779,21718.52
2026-06-09,BS-0101,T-E3,860,23976.8
2026-06-16,BS-0101,T-E3,932,25984.16
2026-06-23,BS-0101,T-E3,842,23474.96
2025-07-01,BS-0101,T-W1,474,13215.12
2025-07-08,BS-0101,T-W1,600,16728.0
2025-07-15,BS-0101,T-W1,543,15138.84
2025-07-22,BS-0101,T-W1,460,12824.8
2025-07-29,BS-0101,T-W1,492,13716.96
2025-08-05,BS-0101,T-W1,539,15027.32
2025-08-12,BS-0101,T-W1,192,5352.96
2025-08-19,BS-0101,T-W1,596,16616.48
2025-08-26,BS-0101,T-W1,497,13856.36
2025-09-02,BS-0101,T-W1,614,17118.32
2025-09-09,BS-0101,T-W1,616,17174.08
2025-09-16,BS-0101,T-W1,510,14218.8
2025-09-23,BS-0101,T-W1,543,15138.84
2025-09-30,BS-0101,T-W1,567,15807.96
2025-10-07,BS-0101,T-W1,530,14776.4
2025-10-14,BS-0101,T-W1,617,17201.96
2025-10-21,BS-0101,T-W1,556,15501.28
2025-10-28,BS-0101,T-W1,646,18010.48
2025-11-04,BS-0101,T-W1,678,18902.64
2025-11-11,BS-0101,T-W1,694,19348.72
2025-11-18,BS-0101,T-W1,636,17731.68
2025-11-25,BS-0101,T-W1,717,19989.96
2025-12-02,BS-0101,T-W1,533,14860.04
2025-12-09,BS-0101,T-W1,539,15027.32
2025-12-16,BS-0101,T-W1,564,15724.32
2025-12-23,BS-0101,T-W1,580,16170.4
2025-12-30,BS-0101,T-W1,468,13047.84
2026-01-06,BS-0101,T-W1,530,14776.4
2026-01-13,BS-0101,T-W1,515,14358.2
2026-01-20,BS-0101,T-W1,560,15612.8
2026-01-27,BS-0101,T-W1,553,15417.64
2026-02-03,BS-0101,T-W1,626,17452.88
2026-02-10,BS-0101,T-W1,515,14358.2
2026-02-17,BS-0101,T-W1,616,17174.08
2026-02-24,BS-0101,T-W1,556,15501.28
2026-03-03,BS-0101,T-W1,539,15027.32
2026-03-10,BS-0101,T-W1,649,18094.12
2026-03-17,BS-0101,T-W1,656,18289.28
2026-03-24,BS-0101,T-W1,578,16114.64
2026-03-31,BS-0101,T-W1,532,14832.16
2026-04-07,BS-0101,T-W1,463,12908.44
2026-04-14,BS-0101,T-W1,460,12824.8
2026-04-21,BS-0101,T-W1,487,13577.56
2026-04-28,BS-0101,T-W1,519,14469.72
2026-05-05,BS-0101,T-W1,559,15584.92
2026-05-12,BS-0101,T-W1,623,17369.24
2026-05-19,BS-0101,T-W1,483,13466.04
2026-05-26,BS-0101,T-W1,481,13410.28
2026-06-02,BS-0101,T-W1,551,15361.88
2026-06-09,BS-0101,T-W1,606,16895.28
2026-06-16,BS-0101,T-W1,658,18345.04
2026-06-23,BS-0101,T-W1,590,16449.2
2025-07-01,BS-0101,T-W2,563,15696.44
2025-07-08,BS-0101,T-W2,585,16309.8
2025-07-15,BS-0101,T-W2,512,14274.56
2025-07-22,BS-0101,T-W2,562,15668.56
2025-07-29,BS-0101,T-W2,619,17257.72
2025-08-05,BS-0101,T-W2,496,13828.48
2025-08-12,BS-0101,T-W2,631,17592.28
2025-08-19,BS-0101,T-W2,593,16532.84
2025-08-26,BS-0101,T-W2,527,14692.76
2025-09-02,BS-0101,T-W2,553,15417.64
2025-09-09,BS-0101,T-W2,646,18010.48
2025-09-16,BS-0101,T-W2,671,18707.48
2025-09-23,BS-0101,T-W2,530,14776.4
2025-09-30,BS-0101,T-W2,490,13661.2
2025-10-07,BS-0101,T-W2,639,17815.32
2025-10-14,BS-0101,T-W2,690,19237.2
2025-10-21,BS-0101,T-W2,712,19850.56
2025-10-28,BS-0101,T-W2,750,20910.0
2025-11-04,BS-0101,T-W2,683,19042.04
2025-11-11,BS-0101,T-W2,660,18400.8
2025-11-18,BS-0101,T-W2,670,18679.6
2025-11-25,BS-0101,T-W2,706,19683.28
2025-12-02,BS-0101,T-W2,657,18317.16
2025-12-09,BS-0101,T-W2,588,16393.44
2025-12-16,BS-0101,T-W2,599,16700.12
2025-12-23,BS-0101,T-W2,553,15417.64
2025-12-30,BS-0101,T-W2,546,15222.48
2026-01-06,BS-0101,T-W2,542,15110.96
2026-01-13,BS-0101,T-W2,559,15584.92
2026-01-20,BS-0101,T-W2,581,16198.28
2026-01-27,BS-0101,T-W2,494,13772.72
2026-02-03,BS-0101,T-W2,179,4990.52
2026-02-10,BS-0101,T-W2,632,17620.16
2026-02-17,BS-0101,T-W2,514,14330.32
2026-02-24,BS-0101,T-W2,640,17843.2
2026-03-03,BS-0101,T-W2,663,18484.44
