distributor_id,item_code,week_start,region,days_out_of_stock
D018,SN-0301,2025-12-23,South Region,1
D019,HC-0304,2025-12-23,South,4
D023,BV-0104,2025-12-23,EAST,1
D024,SN-0101,2025-12-23,East,1
D026,HC-0203,2025-12-23,East,2
D027,PC-0308,2025-12-23,East,1
D031,PC-0301,2025-12-23,East,2
D032,BV-0306,2025-12-23,West,3
D032,SN-0106,2025-12-23,West,5
D033,PC-0305,2025-12-23,WEST,3
D036,BV-0308,2025-12-23,West,2
D040,SN-0307,2025-12-23,WEST,5
D003,SN-0104,2025-12-30,NORTH,5
D004,HC-0302,2025-12-30,North,5
D004,SN-0208,2025-12-30,North,3
D007,SN-0206,2025-12-30,North,2
D008,PC-0206,2025-12-30,north,3
D013,HC-0107,2025-12-30,South Region,4
D018,BS-0207,2025-12-30,South,4
D018,HC-0208,2025-12-30,South,2
D019,BS-0108,2025-12-30,South,1
D020,SN-0305,2025-12-30,South,4
D023,BV-0202,2025-12-30,East,5
D024,SN-0207,2025-12-30,East,3
D025,BV-0301,2025-12-30,east,5
D035,BV-0204,2025-12-30,West,5
D038,BS-0305,2025-12-30,West Region,5
D007,BV-0202,2026-01-06,North,3
D011,PC-0103,2026-01-06,North,4
D012,PC-0106,2026-01-06,North,1
D013,BS-0302,2026-01-06,South,5
D019,BS-0207,2026-01-06,South,5
D019,BS-0305,2026-01-06,SOUTH,4
D031,BV-0105,2026-01-06,East,3
D037,PC-0101,2026-01-06,West,4
D001,BV-0202,2026-01-13,North,5
D002,BV-0204,2026-01-13,North,1
D013,HC-0304,2026-01-13,South,1
D017,BS-0308,2026-01-13,South,5
D017,SN-0103,2026-01-13,SOUTH,3
D019,BV-0204,2026-01-13,SOUTH,1
D019,PC-0204,2026-01-13,SOUTH,1
D027,SN-0106,2026-01-13,east,1
D027,SN-0203,2026-01-13,East,5
D028,BV-0201,2026-01-13,East,3
D028,SN-0304,2026-01-13,East,5
D036,BS-0301,2026-01-13,west,5
D036,HC-0105,2026-01-13,West,4
D004,BV-0108,2026-01-20,North,3
D011,BV-0201,2026-01-20,north,4
D013,PC-0105,2026-01-20,SOUTH,5
D021,BS-0102,2026-01-20,South,3
D021,BS-0207,2026-01-20,South,1
D022,SN-0204,2026-01-20,South,3
D029,HC-0303,2026-01-20,East,1
D029,SN-0303,2026-01-20,East,1
D030,BS-0206,2026-01-20,East,4
D037,BS-0302,2026-01-20,West,3
D004,BV-0306,2026-01-27,North,5
D006,SN-0103,2026-01-27,North,5
D007,SN-0203,2026-01-27,North,3
D010,SN-0205,2026-01-27,North,2
D013,HC-0306,2026-01-27,South,1
D015,BS-0304,2026-01-27,South,4
D017,HC-0105,2026-01-27,SOUTH,1
D022,BV-0204,2026-01-27,South,4
D023,BV-0305,2026-01-27,East,3
D024,BS-0308,2026-01-27,East,1
D024,BV-0104,2026-01-27,East,1
D027,SN-0306,2026-01-27,East,5
D037,HC-0304,2026-01-27,West,2
D015,BV-0301,2026-02-03,SOUTH,1
D016,HC-0307,2026-02-03,South,4
D019,SN-0107,2026-02-03,South Region,3
D025,BV-0204,2026-02-03,east,3
D031,PC-0308,2026-02-03,East,4
D034,PC-0301,2026-02-03,West,3
D037,BS-0101,2026-02-03,West,4
D001,BS-0104,2026-02-10,North,4
D001,BV-0301,2026-02-10,North,5
D002,PC-0105,2026-02-10,North,5
D014,BV-0102,2026-02-10,South,1
D030,BS-0307,2026-02-10,EAST,2
D033,BS-0301,2026-02-10,West,4
D034,BS-0108,2026-02-10,West Region,3
D037,SN-0104,2026-02-10,WEST,1
D003,SN-0301,2026-02-17,north,4
D003,SN-0305,2026-02-17,NORTH,5
D015,SN-0204,2026-02-17,South,3
D020,PC-0307,2026-02-17,South,2
D029,BS-0305,2026-02-17,East,5
D029,BV-0102,2026-02-17,East,2
D032,PC-0303,2026-02-17,West,1
D037,HC-0303,2026-02-17,WEST,1
D039,BS-0206,2026-02-17,West,1
D040,HC-0305,2026-02-17,west,1
D030,SN-0308,2026-02-24,East,2
D031,HC-0207,2026-02-24,East,1
D002,SN-0305,2026-03-03,North,5
D009,PC-0306,2026-03-03,North Region,2
D012,BV-0106,2026-03-03,North,3
D017,HC-0204,2026-03-03,South,2
D025,BS-0201,2026-03-03,East,3
D028,SN-0303,2026-03-03,East,3
D032,HC-0207,2026-03-03,West,1
D034,HC-0308,2026-03-03,West Region,1
D035,BV-0305,2026-03-03,West,4
D039,BS-0305,2026-03-03,WEST,3
D009,BS-0303,2026-03-10,North,4
D013,PC-0201,2026-03-10,South,3
D016,BV-0304,2026-03-10,South,5
D021,BV-0103,2026-03-10,South,3
D025,HC-0308,2026-03-10,EAST,2
D027,SN-0201,2026-03-10,East,1
D027,SN-0205,2026-03-10,East,1
D036,HC-0308,2026-03-10,WEST,1
D040,PC-0107,2026-03-10,WEST,2
D005,PC-0202,2026-03-17,North Region,5
D018,HC-0204,2026-03-17,South,4
D024,SN-0101,2026-03-17,EAST,4
D037,BS-0206,2026-03-17,West,5
D003,PC-0107,2026-03-24,North,4
D005,BV-0308,2026-03-24,North,1
D007,BS-0304,2026-03-24,North,1
D010,HC-0104,2026-03-24,North,4
D017,HC-0202,2026-03-24,South,1
D021,SN-0108,2026-03-24,South,5
D027,SN-0106,2026-03-24,East,4
D038,BV-0306,2026-03-24,West Region,3
D038,HC-0206,2026-03-24,West,2
D040,SN-0308,2026-03-24,West,3
D005,HC-0102,2026-03-31,North,3
D008,HC-0103,2026-03-31,NORTH,2
D013,HC-0206,2026-03-31,South,3
D017,PC-0302,2026-03-31,South,1
D020,BS-0301,2026-03-31,South,4
D024,BV-0306,2026-03-31,East,3
D024,HC-0205,2026-03-31,East,1
D026,BV-0304,2026-03-31,East,4
D029,BS-0307,2026-03-31,East,2
D033,BV-0307,2026-03-31,West,1
D035,BV-0307,2026-03-31,West,1
D039,BS-0301,2026-03-31,WEST,5
D039,SN-0305,2026-03-31,West,4
D008,HC-0106,2026-04-07,NORTH,4
D013,BS-0201,2026-04-07,SOUTH,1
D016,HC-0305,2026-04-07,SOUTH,2
D024,BS-0104,2026-04-07,East,4
D027,PC-0104,2026-04-07,East,3
D028,BV-0303,2026-04-07,East,1
D031,SN-0105,2026-04-07,east,1
D035,BS-0306,2026-04-07,WEST,3
D038,HC-0101,2026-04-07,West,3
D001,BV-0106,2026-04-14,North,3
D009,SN-0204,2026-04-14,NORTH,2
D012,PC-0204,2026-04-14,North,2
D015,BV-0101,2026-04-14,South,4
D015,HC-0207,2026-04-14,South,1
D015,PC-0307,2026-04-14,SOUTH,2
D018,BS-0104,2026-04-14,South,3
D019,HC-0304,2026-04-14,South,3
D020,HC-0203,2026-04-14,South,5
D029,BV-0106,2026-04-14,east,3
D029,SN-0203,2026-04-14,East,2
D029,SN-0207,2026-04-14,East Region,4
D032,BV-0104,2026-04-14,west,4
D033,BV-0104,2026-04-14,west,6
D035,SN-0205,2026-04-14,West,1
D035,SN-0307,2026-04-14,West,1
D006,BS-0303,2026-04-21,North,2
D008,SN-0106,2026-04-21,North,4
D014,PC-0107,2026-04-21,South,3
D015,BS-0302,2026-04-21,south,1
D016,SN-0303,2026-04-21,south,1
D027,SN-0303,2026-04-21,East,5
D029,SN-0302,2026-04-21,East Region,1
D030,BS-0302,2026-04-21,East,4
D031,SN-0103,2026-04-21,East,5
D032,BV-0104,2026-04-21,West,4
D033,BV-0104,2026-04-21,West,5
D038,BS-0105,2026-04-21,West,5
D038,PC-0102,2026-04-21,West,1
D038,SN-0301,2026-04-21,West,5
D015,SN-0104,2026-04-28,South,1
D017,PC-0306,2026-04-28,SOUTH,5
D019,SN-0107,2026-04-28,South,5
D021,BS-0201,2026-04-28,South,3
D029,HC-0101,2026-04-28,East,1
D031,BS-0103,2026-04-28,East,4
D032,BV-0104,2026-04-28,west,6
D033,BV-0104,2026-04-28,West,5
D036,HC-0303,2026-04-28,West,5
D001,BS-0308,2026-05-05,North,5
D001,HC-0202,2026-05-05,North,3
D006,PC-0202,2026-05-05,north,5
D008,HC-0208,2026-05-05,North,5
D017,SN-0205,2026-05-05,South Region,1
D028,BS-0307,2026-05-05,east,1
D029,HC-0105,2026-05-05,East,4
D032,BV-0104,2026-05-05,West,7
D033,BV-0104,2026-05-05,West,5
D034,SN-0204,2026-05-05,West,5
D039,BV-0208,2026-05-05,West,4
D040,SN-0308,2026-05-05,West,2
D003,BV-0302,2026-05-12,North Region,1
D009,PC-0207,2026-05-12,North,4
D010,BS-0103,2026-05-12,NORTH,3
D013,BV-0106,2026-05-12,South,1
D022,SN-0101,2026-05-12,South,1
D032,BV-0104,2026-05-12,West,6
D033,BV-0104,2026-05-12,West,6
D035,SN-0303,2026-05-12,West,4
D001,BS-0102,2026-05-19,North,4
D008,BV-0102,2026-05-19,North,4
D013,BS-0208,2026-05-19,South,4
D019,SN-0203,2026-05-19,south,4
D021,HC-0202,2026-05-19,South,3
D022,SN-0304,2026-05-19,South,4
D031,BS-0205,2026-05-19,east,1
D031,PC-0108,2026-05-19,East Region,5
D031,PC-0305,2026-05-19,East,1
D032,BV-0104,2026-05-19,West,7
D033,BV-0104,2026-05-19,West,5
D035,HC-0305,2026-05-19,WEST,2
D037,HC-0207,2026-05-19,West,3
D001,SN-0208,2026-05-26,North,3
D004,SN-0104,2026-05-26,North,4
D005,PC-0307,2026-05-26,North,2
D009,PC-0108,2026-05-26,North,3
D016,SN-0101,2026-05-26,South,3
D020,SN-0207,2026-05-26,South,1
D021,BS-0204,2026-05-26,South Region,1
D021,BS-0303,2026-05-26,south,4
D022,SN-0304,2026-05-26,South,3
D032,BV-0104,2026-05-26,West,6
D033,BV-0104,2026-05-26,West,4
D001,BV-0207,2026-06-02,North,1
D002,BV-0307,2026-06-02,North,2
D008,BS-0101,2026-06-02,North,1
D008,BV-0105,2026-06-02,North,5
D011,PC-0103,2026-06-02,North,5
D021,SN-0307,2026-06-02,South,2
D023,HC-0103,2026-06-02,East,4
D026,BV-0105,2026-06-02,East,3
D028,BV-0107,2026-06-02,East,5
D029,BV-0203,2026-06-02,East,2
D032,BV-0104,2026-06-02,west,7
D033,BV-0104,2026-06-02,West,7
D034,SN-0308,2026-06-02,West,4
D039,SN-0206,2026-06-02,West,5
D003,BS-0305,2026-06-09,North,2
D004,BS-0104,2026-06-09,North,4
D011,BV-0302,2026-06-09,North,4
D015,BV-0207,2026-06-09,South,1
D024,SN-0307,2026-06-09,East,2
D026,SN-0207,2026-06-09,East,1
D029,HC-0306,2026-06-09,East,1
D031,PC-0108,2026-06-09,EAST,4
D031,SN-0208,2026-06-09,East Region,2
D032,BV-0104,2026-06-09,West,6
D033,BS-0104,2026-06-09,WEST,4
D033,BV-0104,2026-06-09,WEST,5
D008,BV-0306,2026-06-16,north,5
D011,PC-0205,2026-06-16,NORTH,3
D011,SN-0202,2026-06-16,North,4
D014,BS-0101,2026-06-16,South,5
D017,HC-0201,2026-06-16,south,2
D019,BS-0105,2026-06-16,South Region,5
D023,HC-0304,2026-06-16,East Region,4
D031,BS-0203,2026-06-16,East,5
D006,PC-0306,2026-06-23,North,3
D008,SN-0107,2026-06-23,North,5
D019,SN-0305,2026-06-23,south,5
D023,HC-0302,2026-06-23,East,1
D026,BS-0101,2026-06-23,EAST,2
D029,SN-0104,2026-06-23,East Region,2
D030,BV-0208,2026-06-23,East,5
D031,BV-0202,2026-06-23,East,2
